Ê±¼ä,H1,H2,H3,HT1,HT2
             3.42500,            24.68102,            17.68351,            17.32336,            32.86152,            17.45970
             3.43000,            25.61430,            17.60370,            17.26630,            34.22192,            17.38724
             3.43500,            26.65180,            17.53330,            17.19952,            35.66021,            17.32073
             3.44000,            27.75117,            17.45418,            17.14059,            37.16223,            17.25687
             3.44500,            28.92846,            17.38852,            17.07996,            38.83574,            17.18879
             3.45000,            30.17413,            17.31383,            17.01697,            40.73103,            17.12958
             3.45500,            31.49732,            17.25166,            16.96376,            42.45859,            17.06061
             3.46000,            32.91066,            17.17558,            16.90296,            43.75072,            17.00362
             3.46500,            34.39113,            17.27657,            16.85151,            44.71855,            16.94020
             3.47000,            35.93149,            17.58116,            16.78297,            45.42243,            16.88626
             3.47500,            37.64068,            18.06659,            16.73894,            45.96911,            16.82499
             3.48000,            39.56434,            18.67009,            16.67440,            46.38853,            16.77461
             3.48500,            41.32319,            19.35227,            16.62839,            46.72343,            16.71405
             3.49000,            42.65323,            20.09498,            16.56776,            46.98498,            16.65910
             3.49500,            43.65446,            20.87476,            16.51916,            47.20409,            16.60542
             3.50000,            44.39416,            21.70146,            16.46057,            47.38543,            16.54731
             3.50500,            44.97575,            22.59797,            16.41137,            47.53164,            16.65690
             3.51000,            45.42722,            23.56229,            16.36048,            47.64803,            16.95891
             3.51500,            45.79865,            24.61384,            16.31342,            47.75805,            17.45890
             3.52000,            46.08022,            25.75359,            16.26413,            47.84834,            18.05497
             3.52500,            46.33166,            26.95366,            16.21835,            47.94214,            18.75208
             3.53000,            46.53624,            28.23079,            16.17031,            48.01681,            19.48769
             3.53500,            46.70949,            29.58298,            16.12566,            48.09615,            20.28159
             3.54000,            46.84666,            31.01696,            16.07371,            48.15933,            21.10148
             3.54500,            46.97591,            32.52174,            16.18314,            48.22845,            21.99709
             3.55000,            47.08766,            34.07381,            16.49664,            48.28004,            22.94721
             3.55500,            47.19667,            35.79984,            16.98776,            48.33975,            24.00390
